,보관소(대여소)명,자치구,상세주소,위도,경도,shortest_road,법정동
583, 상봉역 2번 출구,중랑구,서울특별시 중랑구 망우로 297 상봉역 2번 출구,37.59632874,127.0858994,면목로96길,상봉동
584, 상아빌딩(우림시장 교차로),중랑구,서울특별시 중랑구 용마산로 494 상아빌딩(우림시장 교차로),37.59511185,127.1003265,용마공원로,망우동
585, 동원사거리,중랑구,서울특별시 중랑구 겸재로 229 동원사거리,37.58975983,127.0932388,상봉로11길,면목동
586, 상봉터미널2,중랑구,서울특별시 중랑구 용마산로115길 127 용마산로115길 127,37.59733963,127.0930862,망우로,망우동
587, 용마한신아파트사거리,중랑구,서울특별시 중랑구 용마산로 313 용마한신아파트사거리,37.58034897,127.0926514,사가정로,면목동
588,동양엔파트 앞,중랑구,서울특별시 중랑구 망우로 203 중화동주상복합,37.593853,127.0750732,망우로,중화동
589,동부시장 북문 앞,중랑구,서울특별시 중랑구 망우로 214 우도빌딩,37.59386826,127.0765228,망우로32길,상봉동
590,중랑구민회관,중랑구,서울특별시 중랑구 면목로 238 중랑구민회관,37.57407761,127.0850067,면목로,면목동
591,중화역 4번출구,중랑구,서울특별시 중랑구 동일로 815,37.60305405,127.0790024,동일로,중화동
592,중랑공영차고지 옆,중랑구,서울특별시 중랑구 신내동 63-8,37.61314774,127.1051483,신내역로1가길,신내동
593,두산대림아파트 삼거리,중랑구,서울특별시 중랑구 신내로23길 9 묵동근생빌딩,37.61882401,127.0875702,숙선옹주로,묵동
594,sk신내 주유소앞(용마산로),중랑구,서울특별시 중랑구 신내동 353-2,37.61362076,127.1011505,신내로18길,신내동
595,먹골역 7번 출구,중랑구,서울특별시 중랑구 동일로 901 먹골역,37.6114769,127.0773926,동일로161길,묵동
596,먹골역 4번출구,중랑구,서울특별시 중랑구 동일로 890,37.60982132,127.0781326,동일로,묵동
597,중화동 우리은행 앞,중랑구,서울특별시 중랑구 동일로 837 우리은행,37.60520172,127.0785828,동일로,중화동
598,동양쇼핑 정류소 앞,중랑구,서울특별시 중랑구 묵동 190-2,37.61535263,127.0784912,숙선옹주로,묵동
599,영성빌딩(PAT),중랑구,서울특별시 중랑구 동일로 824 신성빌딩,37.60408401,127.0792313,동일로138길,중화동
600,중랑역 1번 출구(중화문화복지센터),중랑구,서울특별시 중랑구 중화동 321-129,37.59489059,127.0749512,중랑역로3길,중화동
601,서울중랑우체국,중랑구,서울특별시 중랑구 망우로 271 서울중랑우체국,37.59581375,127.08284,망우로,상봉동
602,면목삼익아파트 앞,중랑구,서울특별시 중랑구 동일로 501 면목삼익아파트,37.57598495,127.0796051,동일로,면목동
603,홈플러스 상봉점 앞,중랑구,서울특별시 중랑구 상봉동 500-1,37.59832764,127.0922699,망우로55길,상봉동
604,면목 홈플러스 2,중랑구,서울특별시 중랑구 사가정로 326 중랑구 실향민협의회,37.58105469,127.0820923,사가정로42길,면목동
605, 용마지구대 옆,중랑구,서울특별시 중랑구 동일로 566 중랑경찰서용마지구대,37.58111191,127.080101,동일로,면목동
606, 새우개마을,중랑구,서울특별시 중랑구 신내동278-50,37.61571121,127.1010437,용마산로139가길,신내동
607, 상봉2동 주민센터 앞,중랑구,서울특별시 중랑구 상봉동 126-42,37.59268951,127.0802841,봉우재로19길,상봉동
608, 동서울농협 앞,중랑구,서울특별시 중랑구 망우로 290,37.59596252,127.0847778,면목로95길,상봉동
609, 라코지스테이 앞,중랑구,서울특별시 중랑구 망우로232,37.59432602,127.0784607,망우로,상봉동
610, 신내2동 주민센터 앞,중랑구,서울특별시 중랑구 봉화산로 190,37.60641098,127.0940476,봉화산로50길,신내동
611," 동성1,2차 아파트 앞",중랑구,서울특별시 중랑구 신내로 126 동성아파트,37.61022568,127.096283,봉화산로53길,신내동
612, 한양수자인아파트 앞,중랑구,서울특별시 중랑구 면목동 1085-1,37.58032227,127.0941544,사가정로72길,면목동
613, 묵동 이마트 앞,중랑구,서울특별시 중랑구 묵동 170-45,37.6132164,127.0773468,동일로,묵동
614, 망우지구대,중랑구,서울특별시 중랑구 망우로 400,37.59877777,127.0963898,용마산로115길,망우동
615, 중랑데시앙플렉스 앞,중랑구,서울 중랑구 신내역로3길 40-36,37.61755371,127.1039963,경춘북로,신내동
616, 면목동 새싹어린이공원 앞,중랑구,서울특별시 중랑구 동일로92길 57,37.58333206,127.0835495,사가정로39길,면목동
617, 망우역 2번 출구,중랑구,서울특별시 중랑구 중랑구 망우로55길 11-10(상봉동),37.60025406,127.091713,상봉중앙로1다길,상봉동
618, 방정환교육지원센터 옆,중랑구,서울특별시 중랑구 중랑구 망우로 325(상봉동),37.59780884,127.0884476,동일로120길,상봉동
619, 신내동 벽산아파트 후문 앞,중랑구,서울특별시 중랑구 용마산로125길 50 벽산아파트,37.6030426,127.100502,용마산로122길,신내동
620, 신내동 한살림 중랑지구 앞,중랑구,서울특별시 중랑구 신내동 574-1,37.60428619,127.0973663,신내로10길,신내동
621, 신내동 한살림 중랑지구 북축,중랑구,서울특별시 중랑구 신내동 574-1,37.60446167,127.0974121,용마산로125가길,신내동
622, 상봉신협 앞,중랑구,서울특별시 중랑구 봉우재로41길 6 청운명가프라임,37.59354401,127.0897903,봉우재로,상봉동
623, 홈플러스 면목점,중랑구,서울특별시 중랑구 동일로 540,37.57984543,127.0824204,사가정로42길,면목동
624, 신내SK V1센터 앞,중랑구,서울특별시 중랑구 중랑구 신내역로 111,37.6127243,127.11306,구리포천고속도로,신내동
625, 용마복지센터 앞,중랑구,서울특별시 중랑구 중랑구 용마산로 393,37.58686447,127.0953217,용마산로,면목동
626, 망우동 본죽 앞,중랑구,서울특별시 중랑구 망우로 467,37.60064316,127.1040497,망우로,망우동
627, 양원역 1번 출구,중랑구,서울특별시 중랑구 망우동 253-18,37.60655212,127.1070862,양원역로14나길,망우동
628, 양원지구 힐데스하임 앞,중랑구,서울특별시 중랑구 봉화산로 301,37.60924149,127.1062088,용마산로136가길,망우동
629,동원사거리 행복오피스텔 앞,중랑구,서울특별시 중랑구 겸재로 240 행복오피스텔,37.58973694,127.0941925,겸재로,면목동
630, 서울시 북부병원 앞,중랑구,서울특별시 중랑구 양원역로 38 서울시북부병원 및 시립중랑노인전문요양원,37.60405731,127.107254,양원역로8길,망우동
631, 신내 우디안 111동 앞,중랑구,서울특별시 중랑구 신내역로1길 85 신내우디안1단지,37.61727142,127.1085434,신내역로1길,신내동
632,중화수경공원,중랑구,중랑구 중화동 381-3,37.60318375,127.0741348,중랑천로,중화동
633, 한성대입구역6번출구 뒤,성북구,서울특별시 성북구 동소문로 1 한성대입구역6번출구 뒤,37.58876419,127.0063095,성북로2길,동소문동1가
634, 돈암초교 입구,성북구,서울특별시 성북구 동소문로13길 38 돈암초교,37.59169388,127.012497,동소문로,동소문동4가
635, 만해공원,성북구,서울특별시 성북구 성북로 132-1 만해공원,37.59440231,126.9923096,성북로29길,성북동
636, 성북구청,성북구,서울특별시 성북구 보문로 168 성북구청,37.58932877,127.0164337,삼선교로24길,삼선동5가
637, 한성대입구역2번출구,성북구,서울특별시 성북구 동소문로 2 성북구 동소문동2가 2-3,37.58844757,127.0067062,동소문로,동소문동2가
638, 안암로터리 버스정류장 앞,성북구,서울특별시 성북구 안암로 69 안암로터리 버스정류장,37.58259201,127.0289764,안암로9가길,안암동5가
639, 정릉꿈에그린1단지 201동 앞,성북구,서울특별시 성북구 아리랑로19길 20 성북구 정릉동 966-62,37.60243988,127.0116882,아리랑로19길,정릉동
640, 고려사대부속중고 정문,성북구,서울특별시 성북구 보국문로29길 23 성북구 정릉동 966-1,37.60776138,127.0032806,정릉로,정릉동
641, 고려사대부속중고 건너편,성북구,서울특별시 성북구 보국문로29길 23 성북구 정릉동 966-1,37.60726166,127.0028381,정릉로12길,정릉동
642, 길음역 3번출구 뒤,성북구,서울특별시 성북구 동소문로 248 동소문로248,37.60308456,127.0247879,삼양로,길음동
643, 종암사거리 분수대,성북구,서울특별시 성북구 종암로 147 성북구 하월곡동 104-134,37.6030426,127.0332718,화랑로,종암동
644, 국민은행 종암동지점 앞,성북구,서울특별시 성북구 종암로3길 37-2 성북구 종암동 12-33,37.59328842,127.0366669,종암로,종암동
645, 래미안라센트아파트 103동 앞,성북구,서울특별시 성북구 종암로3길 37-2 성북구 종암동 12-33,37.59806824,127.0392761,월곡로7길,종암동
646, 월곡역 입구 육교 밑,성북구,서울특별시 성북구 월곡로 지하 107 성북구 종암동 113-10,37.60043335,127.0402069,월곡로13길,종암동
647, 상월곡역 4번출구,성북구,서울특별시 성북구 화랑로 148 성북구 상월곡동 산7-1,37.60580826,127.0477371,화랑로17길,상월곡동
648, 상월곡역 1번출구,성북구,서울특별시 성북구 화랑로 지하 157 성북구 상월곡동 35-9,37.60606766,127.0473175,화랑로17길,상월곡동
649, 상월곡역 3번출구,성북구,서울특별시 성북구 화랑로 지하 157 성북구 상월곡동 26-1,37.60734177,127.0506821,화랑로22길,상월곡동
650, 월곡역 3번출구,성북구,서울특별시 성북구 월곡로 지하 107 성북구 하월곡동 37-4,37.6026268,127.0416336,화랑로11길,하월곡동
651, 석계역 5번출구 건너편,성북구,서울특별시 노원구 화랑로 지하 347-1 성북구 석관동 134-4,37.61355591,127.0660934,한천로66길,석관동
652, 석관초등학교 앞,성북구,서울특별시 성북구 돌곶이로22길 21 성북구 석관동 202-3,37.61052322,127.0597992,돌곶이로22길,석관동
653, 석관동주민센터 앞,성북구,서울특별시 성북구 화랑로 296 성북구 석관동 384-2,37.61299896,127.0613098,화랑로40길,석관동
654, 성북3교 위,성북구,서울특별시 성북구 보문로 192 성북3교 위,37.59125137,127.0140076,보문로,삼선동4가
655, 돈암성당 옆,성북구,서울특별시 성북구 인촌로7길 120 돈암성당 옆,37.59038162,127.0171356,고려대로7길,동선동2가
656, 용문2교 옆,성북구,서울특별시 성북구 인촌로7길 24 용문2교 옆,37.5868988,127.020752,보문로26길,안암동2가
657, 삼성전자서비스 성북센터,성북구,서울특별시 성북구 월계로 28 삼성전자서비스 성북센터,37.610569,127.0335083,월계로,하월곡동
658, 광운초등학교 앞,성북구,서울특별시 성북구 장위동 134-27,37.61784363,127.0550003,돌곶이로32길,장위동
659, 성북쉼터 앞,성북구,서울특별시 성북구 성북로21길 32 성북쉼터 앞,37.59261703,126.9979324,혜화로,성북동
660, 한성대7번출구 앞,성북구,서울특별시 성북구 동소문로 11 한성대7번출구 앞,37.58924866,127.0073776,성북로2길,동소문동1가
661, 아리랑시네센터 앞,성북구,서울특별시 성북구 아리랑로 82 아리랑시네센터 앞,37.60028839,127.0137024,아리랑로12길,돈암동
662, 길음8골어린이공원 옆,성북구,서울특별시 성북구 길음로13길 22 길음8골어린이공원 옆,37.60897827,127.0202484,길음로,길음동
663, 길음래미안아파트817동 상가 앞,성북구,서울특별시 성북구 길음로 33 길음래미안아파트817동 상가 앞,37.60710526,127.0214996,삼양로9길,길음동
664, 성북제일새마을금고 본점 앞,성북구,서울특별시 성북구 길음로 20 성북제일새마을금고 본점 앞,37.60475159,127.0227585,길음로,길음동
665, 월계2교 버스정류장 앞,성북구,서울특별시 성북구 한천로101길 18 월계2교 버스정유장 앞,37.62382889,127.0502014,우이천동자전거길,장위동
666, 안암2교 옆,성북구,서울특별시 성북구 안암로 17 SK제삼주유소 앞,37.5794487,127.0241928,안암로5길,안암동4가
667, e 편한세상 보문아파트 내,성북구,서울특별시 성북구 낙산길 255 e 편한세상 보문아파트 내,37.58388138,127.0170975,지봉로,보문동3가
668, 금호어울림센터힐 내,성북구,서울특별시 성북구 동소문로34길 73 금호어울림센터힐 내,37.60083008,127.0235519,동소문로,돈암동
669, 고려대학교 2번출구,성북구,서울특별시 성북구 종암로 지하 1 고려대학교 2번출구,37.5907135,127.0361939,종암로,종암동
670, 보문2교,성북구,서울특별시 성북구 보문로30길 29 보문2교,37.58869934,127.0189133,고려대로5길,안암동1가
671, 북한산보국문역,성북구,서울특별시 성북구 보국문로 91 북한산보국문역,37.61207199,127.0081329,보국문로,정릉동
672, 정릉도서관 앞,성북구,서울특별시 성북구 보국문로 7-10 정릉도서관 앞,37.60478973,127.010582,정릉로26길,정릉동
673, 장위뉴타운 꿈에 숲 코오롱 하늘채 앞,성북구,서울특별시 성북구 월계로 172 장위뉴타운 꿈에 숲 코오롱 하늘채 앞,37.61980057,127.0450974,월계로,장위동
674, 정릉역,성북구,서울특별시 성북구 정릉로 272 정릉역,37.60309601,127.013504,정릉로,정릉동
675, 홍익중고 입구,성북구,서울특별시 성북구 성북동 142-1,37.59296799,127.0022354,성북로,성북동
676, 보문역6번출구 앞,성북구,서울특별시 성북구 보문로 112-2,37.58519745,127.0196686,고려대로,보문동1가
677, 보문4교 인근,성북구,서울특별시 성북구 보문로22길 28 보문4교 인근,37.58375168,127.0219498,보문로22길,안암동3가
678, 성북동 치안센터 앞,성북구,서울특별시 성북구 성북로 25 성북동 치안센터 앞,37.59017181,127.0040894,성북로7길,성북동1가
679, 선잠단지 앞,성북구,서울특별시 성북구 성북로 102-10 선잠단지 앞,37.5933609,126.9990921,성북로,성북동
680, 일신초등학교 옆,성북구,서울특별시 성북구 월곡로 74 일신초등학교 옆,37.59972,127.0403824,월곡로,종암동
681, 길음문화복합미디어센터,성북구,서울특별시 성북구 길음로7길 6 길음뉴타운9단지래미안 상가,37.60404587,127.0226593,길음로7길,길음동
682, 성신여대입구 교차로,성북구,서울특별시 성북구 보문로34길 87 성신여대입구 교차로,37.59148026,127.0201035,보문로34길,동선동3가
683, 복자사랑 피정의 집,성북구,서울특별시 성북구 성북로 132-4 복자사랑 피정의 집,37.59453964,126.9952087,성북로,성북동
684, KEB은행 고대점,성북구,서울특별시 성북구 인촌로 113 KEB은행 고대점,37.58644485,127.031601,고려대로,안암동5가
685, 성북구보건소 건너편,성북구,서울특별시 성북구 화랑로 63 성북구보건소 건너편,37.60229111,127.0389786,화랑로5길,종암동
686, 생명의 전화 종합복지관 앞 교차로,성북구,서울특별시 성북구 오패산로 21 생명의 전화 종합복지관 앞 교차로,37.60390854,127.0373764,오패산로,하월곡동
687, 한국과학기술연구원 중문,성북구,서울특별시 성북구 화랑로14길 5 한국과학기술연구원 정문,37.59732056,127.043808,회기로5길,하월곡동
688, 한국과학기술연구원 북문,성북구,서울특별시 성북구 화랑로14길 5 한국과학기술연구원 후문,37.60395813,127.0453415,화랑로,하월곡동
689,길음뉴타운푸르지오아파트 3단지,성북구,서울특별시 성북구 길음로13길 39 길음뉴타운,37.60935974,127.0181732,길음로13길,길음동
690,월곡역 5번출구 앞,성북구,서울특별시 성북구 하월곡동 96-248,37.60108566,127.0412369,월곡로14길,하월곡동
691,석계역 4번출구 뒤,성북구,서울특별시 성북구 석관동 375-97,37.61478424,127.0670013,화랑로48길,석관동
692,래미안월곡아파트 입구,성북구,서울특별시 성북구 하월곡동 225-5,37.60866547,127.0362701,오패산로,하월곡동
693,성신여대입구역 5번출구,성북구,서울특별시 성북구 동소문동6가 140-5,37.59282684,127.0162888,아리랑로,동소문동6가
694,성신여대입구역 3번출구 앞,성북구,서울특별시 성북구 동소문로 98 제일은행,37.59236526,127.0162888,동소문로20길,동소문동5가
695,동선고가차도 초입,성북구,서울특별시 성북구 동소문로 130,37.59415817,127.0189667,동소문로25길,동선동1가
696, 돈암초교입구 버스정류장(한성대입구역 방면),성북구,서울특별시 성북구 동소문동3가 66-1,37.59088135,127.0117035,보문로39길,동소문동3가
697,석관래미안아트리치,성북구,서울특별시 성북구 석관동 323-2,37.60646057,127.0616226,돌곶이로,석관동
698,성북청소년센터,성북구,서울특별시 성북구 장위동 322-8,37.61701202,127.0561676,장위로,장위동
699,돈암삼성풍림아파트,성북구,서울특별시 성북구 돈암동 632-6,37.5970993,127.0226288,동소문로32길,돈암동
700,돈암육교 하단,성북구,서울특별시 성북구 돈암동 51-10,37.59802628,127.0214081,동소문로,돈암동
701,길음뉴타운 래미안9단지,성북구,서울특별시 성북구 정릉로 243,37.60241699,127.0197144,정릉로38나길,정릉동
702,래미안장위포레카운티(102동),성북구,서울특별시 성북구 장위동 143-12,37.61817932,127.0518341,장월로38길,장위동
703,래미안장위퍼스트하이(513동),성북구,서울특별시 성북구 장위동 201-6,37.61844254,127.0514526,장월로38길,장위동
704, 장곡초등학교 앞,성북구,서울특별시 성북구 장위동 237-132,37.61745453,127.0484467,돌곶이로,장위동
705, 돌곶이역 앞,성북구,서울특별시 성북구 화랑로 지하 243,37.61131287,127.0575943,화랑로,장위동
706, 동산어린이공원 앞,성북구,서울특별시 성북구 성북구 하월곡동 96-78,37.60623932,127.0346603,종암로36나길,하월곡동
707, 안암역 3번 출구,성북구,서울특별시 성북구 고려대로 104-1,37.58625031,127.0309525,고려대로,안암동5가
708, 미아초교버스승강장,성북구,서울특별시 성북구 성북구 길음동 1261-535,37.61207962,127.0219803,삼양로14길,길음동
709, 성북청소년문화의집,성북구,서울특별시 성북구 성북구 솔샘로 107,37.61566925,127.0087662,솔샘로25길,정릉동
710, 종암동 동덕여대 제2생활관 앞,성북구,서울특별시 성북구 성북구 종암로 123,37.60108948,127.0333176,종암로,종암동
711, 성북구 한예종 캠퍼스 본관,성북구,서울특별시 성북구 화랑로32길 146-37 한국예술종합학교,37.60665131,127.0561829,화랑로32라길,석관동
712, 성북구 한예종 캠퍼스 별관,성북구,서울특별시 성북구 화랑로32길 146-20 문화재청의릉지구관리소,37.60289764,127.0584793,화랑로32길,석관동
713, 롯데캐슬클라시아 입구 앞,성북구,서울특별시 성북구 길음동 1289-3,37.60668945,127.0258942,동소문로41길,길음동
714," 미아역 3번,4번 출구 사이",강북구,"서울특별시 강북구 도봉로 196 미아역 3,4번 출구 사이",37.62607956,127.0264816,도봉로,미아동
715, 강북구청사거리(수유역 8번출구),강북구,서울특별시 강북구 도봉로 355,37.63926315,127.0267258,도봉로,수유동
716, 삼양시장오거리,강북구,서울특별시 강북구 삼양로 234 다이소 삼양시장점,37.62415695,127.0186234,삼양로,미아동
717, 강북문화예술회관,강북구,서울특별시 강북구 삼각산로 85 강북문화예술회관,37.64032745,127.0133591,삼각산로,수유동
718, 서울북부수도사업소,강북구,서울특별시 강북구 한천로 935 번동 386-17,37.63437653,127.0357513,한천로,번동
719, 번동주공5단지 관리사무소 앞,강북구,서울특별시 강북구 오현로25마길 27 번동 230,37.63371658,127.0355148,한천로,번동
720, 번동 금호어울림아파트102동앞,강북구,서울특별시 강북구 오현로31길 85-7 번동 656-2,37.63112259,127.0360336,오현로31길,번동
721, 강북중학교 앞,강북구,서울특별시 강북구 한천로150길 67 수유동 694-2,37.64473724,127.0265656,도봉로99길,수유동
722, 강북구청 뒷편,강북구,서울특별시 강북구 도봉로89길 13 수유동 192-59,37.63967133,127.0251999,한천로139나길,수유동
723, 강북구청 사거리 버스정류소 앞,강북구,서울특별시 강북구 한천로 1009 강북구청 사거리 버스정류소,37.63880539,127.0283585,한천로,번동
724, 송천동 주민센터,강북구,서울특별시 강북구 솔샘로 284 송천동 주민센터,37.61828613,127.0240479,솔샘로58길,미아동
725, 우이초등학교 후문 옆,강북구,서울특별시 강북구 수유동 409-131,37.63858795,127.0159073,삼양로99길,수유동
726, 수유2동은행빌딩 앞,강북구,서울특별시 강북구 삼양로 439 SK telecom(수유직영점),37.64308548,127.0161667,삼양로113길,수유동
727, 장미원시장 건너편,강북구,서울특별시 강북구 삼양로 474 수유동 317-3,37.64545059,127.0156174,삼양로124길,수유동
728, 수유중앙시장,강북구,서울특별시 강북구 노해로 50 수유동 140,37.63986206,127.022789,노해로,수유동
729, 미아동 복합청사,강북구,서울특별시 강북구 솔매로49길 14 미아동 195-1,37.62714005,127.0266953,도봉로54길,미아동
730, 강북종합시장 앞,강북구,서울특별시 강북구 수유동 140 수유동 채선당앞,37.64173889,127.0246277,한천로,수유동
731, 미아역 1번 출구 뒤,강북구,서울특별시 강북구 미아동 194-1 미아역 1번 출구 뒤,37.62733459,127.0260544,도봉로,미아동
732, 삼각산동 주민센터,강북구,서울특별시 미아동 813-8 삼각산동 주민센터,37.61503601,127.0206986,삼양로,미아동
733, 미아동 한국전력공사,강북구,서울특별시 미아동 194-1 미아동 한국전력공사,37.63018036,127.02491,도봉로65길,미아동
734, 광산사거리,강북구,서울특별시 강북구 노해로 87 광산사거리,37.64355087,127.0223465,한천로,수유동
735, 미아사거리 1번 출구,강북구,서울특별시 강북구 미아동 66-1 미아사거리 1번 출구,37.61395645,127.0302506,도봉로10길,미아동
736, 번3동 주민센터 교차로,강북구,서울특별시 강북구 번동 2-2 번3동 주민센터 교차로,37.62635422,127.0474472,우이천서자전거길,번동
737," 번동 주공3, 4단지 교차로",강북구,"서울특별시 강북구 번동 254 번동 주공3, 4단지 교차로",37.62991714,127.0409164,오현로36길,번동
738, 효성인텔리안 앞,강북구,서울특별시 수유동 230-7 효성인텔리안 앞,37.6362915,127.0233765,노해로,수유동
739, 번동 두산위브 101동 옆,강북구,서울특별시 번동 386-17 번동 두산위브 101동 옆,37.63626099,127.0321732,한천로,번동
740, 북한산 우이역,강북구,서울특별시 강북구 삼양로 670 북한산 우이역,37.66366577,127.0124283,삼양로171길,우이동
741, 솔밭공원역,강북구,서울특별시 강북구 삼양로 595 솔밭공원역,37.65615845,127.0131378,삼양로155길,우이동
742,4.19민주묘지역,강북구,서울특별시 강북구 삼양로 519 4.19민주묘지역,37.64967346,127.0134506,삼양로139길,우이동
743, 가오리역,강북구,서울특별시 강북구 삼양로 426 가오리역,37.64167023,127.0168839,삼양로,수유동
744, 삼양역,강북구,서울특별시 강북구 삼양로 263 삼양역,37.62652969,127.0180588,삼양로57길,미아동
745, 삼양사거리역,강북구,서울특별시 강북구 삼양로 197 삼양사거리역,37.62155151,127.0203705,삼양로39길,미아동
746, 수유1동 주민센터,강북구,서울특별시 강북구 삼양로 299 수유1동 주민센터,37.63018799,127.0177383,삼양로73길,수유동
747, 송천동우체국,강북구,서울특별시 강북구 도봉로 71 송천동우체국,37.61545944,127.0297012,솔샘로68길,미아동
748, 꿈의숲 롯데캐슬,강북구,서울특별시 강북구 오현로 56 꿈의숲 롯데캐슬 111동 인근,37.6186409,127.0362396,오패산로30가길,미아동
749, 북서울 꿈의숲 서문,강북구,서울특별시 강북구 월계로 173 북서울 꿈의숲 서문,37.62268829,127.0378113,오현로,번동
750,삼각산아이원아파트(105동 옆),강북구,서울특별시 강북구 삼양로19길 113 삼각산아이원아파트,37.61522293,127.0185089,삼양로19길,미아동
751,4.19탑 앞,강북구,서울특별시 강북구 수유동 567-55,37.64686203,127.008812,4.19로,수유동
752, 강북구청사거리,강북구,서울특별시 강북구 도봉로 358 코스타타워,37.63920212,127.0272369,도봉로,번동
753,서울북부고용노동지청,강북구,서울특별시 강북구 덕릉로 176 예수그리스도 후기성도교회,37.63520432,127.0339661,덕릉로40나길,번동
754,번동사거리,강북구,서울특별시 강북구 번동 430-76,37.63539124,127.0345535,덕릉로,번동
755,신창교,강북구,서울특별시 강북구 번동 612-3,37.63238144,127.0393066,우이천로4길,번동
756,강북문화정보도서관,강북구,서울특별시 강북구 번동 139-5,37.62552643,127.037323,오현로20길,번동
757, 도봉세무서 앞,강북구,서울특별시 강북구 도봉로 117 도봉세무서,37.6198082,127.0285263,도봉로23길,미아동
758,4.19민주묘지역 1번출구,강북구,서울특별시 강북구 삼양로 522,37.64959717,127.0138474,삼양로140길,우이동
759,수유사거리,강북구,서울특별시 강북구 수유동 45-33,37.63561249,127.022995,도봉로81길,수유동
760,4.19민주묘지 입구사거리,강북구,서울특별시 강북구 삼양로 504 광리빌딩,37.64793396,127.0145721,삼양로,수유동
761,수유역2번출구,강북구,서울특별시 강북구 도봉로 342,37.63796997,127.0259018,오패산로,번동
762,북서울 꿈의 숲 입구,강북구,서울특별시 강북구 오현로20길 46,37.62673187,127.0387726,오현로20길,번동
763, 우이동 먹거리마을,강북구,서울특별시 강북구 우이동 207-14,37.66446304,127.0118408,삼양로181길,우이동
764,현대성우아파트 옆,강북구,서울특별시 강북구 삼양로24길 19 현대성우아파트,37.61666489,127.02211,삼양로24길,미아동
765,송중초등학교 옆,강북구,서울특별시 강북구 미아동 98-5,37.61669922,127.0304947,도봉로16길,미아동
766,삼양입구삼거리,강북구,서울특별시 강북구 솔샘로 326 대한예수교장로회 신성교회,37.61708832,127.0280991,솔샘로,미아동
767, 드래곤타워 앞,강북구,서울특별시 강북구 도봉로 348-1 구두수선대-15,37.63713455,127.0313797,한천로,번동
768, 월계2교 교차로,강북구,서울특별시 강북구 번동 259,37.6242218,127.0492172,월계로44길,번동
769, 송천센트레빌,강북구,서울특별시 강북구 미아동 461-4,37.61220932,127.0249786,숭인로,미아동
770,번동3단지 버스정류장,강북구,서울특별시 강북구 서울 강북구 번동 255도,37.628685,127.0439072,월계로37길,번동
771, 우이천 창번교,강북구,서울특별시 강북구 번동 655-8,37.63536072,127.037674,한천로120길,번동
772,삼양동주민센터 앞,강북구,강북구 솔매로69,37.62491226,127.0197907,솔매로,미아동
773,강북 청소년 문화정보도서관 앞,강북구,강북구 삼양로54길 68,37.62302017,127.0218658,삼양로46길,미아동
774, 녹천역 1번출구 앞,도봉구,서울특별시 도봉구 창동 426-6,37.64582062,127.0504227,노해로66길,창동
775, 도봉산광역환승센터앞,도봉구,서울특별시 도봉구 도봉로 955 도봉동 637-1,37.68972015,127.0451965,도봉로,도봉동
776, 도봉구청 정문앞,도봉구,서울특별시 도봉구 마들로 656 방학동 720,37.66922379,127.0465164,마들로,방학동
777, 방학동우체국 건너편,도봉구,서울특별시 도봉구 도봉로 683 방학동 726-92,37.66566467,127.0426712,도봉로149길,방학동
778, 도봉구민회관,도봉구,서울특별시 도봉구 도봉로 552 창동 723-11,37.65446091,127.0385132,도봉로,창동
779, 도봉보건소사거리,도봉구,서울특별시 도봉구 해등로 150 창동 723-10,37.65682983,127.0398483,도봉로,창동
780, 쌍문역4번출구 주변,도봉구,서울특별시 도봉구 도봉로 지하 486-1 쌍문동 83-5,37.65012741,127.035347,도봉로,쌍문동
781, 쌍문동 이안아파트 앞,도봉구,서울특별시 도봉구 쌍문동 315-488,37.65165329,127.0284882,노해로49길,쌍문동
782, 도봉문화정보도서관 삼거리,도봉구,서울특별시 도봉구 덕릉로 315 도봉문화정보도서관 삼거리,37.64463043,127.0446091,덕릉로,창동
783, 서울특별시교육청도봉도서관,도봉구,서울특별시 도봉구 삼양로556 서울특별시교육청도봉도서관,37.65317917,127.0127869,삼양로,쌍문동
784, 창동역 1번출구 건너편,도봉구,서울특별시 도봉구 마들로11길 20 하나로마트 창동점,37.65420151,127.0507278,마들로11길,창동
785, 시립창동운동장 입구,도봉구,서울특별시 도봉구 창동 1-24 시립창동운동장 입구,37.65570831,127.0501022,노해로69길,창동
786, 신도봉사거리 버스정류장,도봉구,서울특별시 도봉구 도봉로 771 신도봉사거리 버스정류장,37.67328262,127.0439911,도봉로157길,도봉동
787, 도봉구청 옆(중랑천변),도봉구,서울특별시 도봉구 마들로 656 도봉구청 옆(중랑천변),37.66867065,127.0479813,마들로,방학동
788, 창동역 2번출구,도봉구,서울특별시 창동 74-2 창동역 2번출구,37.65301514,127.0469971,노해로63길,창동
789, 창동청소년수련관,도봉구,서울특별시 도봉구 노해로69길 132 창동청소년수련관,37.65779877,127.0500488,노해로69길,창동
790, 방학동학마을도서관,도봉구,서울특별시 도봉구 시루봉로 128 방학동학마을도서관,37.66207886,127.0277176,시루봉로,방학동
791, 창1동주민센터,도봉구,서울특별시 도봉구 해등로 46 창1동주민센터,37.6475029,127.0433121,해등로3길,창동
792, 삼익세라믹아파트교차로,도봉구,서울특별시 도봉구 해등로 189 삼익세라믹아파트,37.65858841,127.0352097,해등로,쌍문동
